,old_HSH 100 lb,new_HSH 100 lb,HSH 60 lb,HSH MIX,COM 100 lb,COM 20 lb,COM 60 lb,COM MIX,CAMP GAS,HSH BULK,MOTOR FUEL,COM BULK
20220816,244,,0,20,21,294,0,100,0,1969,1541.016,35805
20220817,160,,0,0,10,250,0,10,0,2111,654.0319999999999,36081
20220818,163,,0,0,17,263,0,0,0,1344,708.075,35764
20220819,197,,0,0,20,309,0,110,0,1899,688.986,30013
20220820,54,,0,20,2,296,0,40,0,0,273.564,500
20220822,190,,0,20,14,362,3,95,0,716,1251.5720000000001,36242
20220823,162,,1,0,8,192,0,195,0,2040,537.193,36329
20220824,209,,0,0,27,315,0,5,0,3200,797.4799999999999,40164
20220825,228,,0,0,16,314,0,75,0,1307,1187.518,28011
20220826,182,,0,0,30,354,0,70,0,3092,1076.8600000000001,41758
20220827,70,,0,0,0,394,0,90,0,0,126.828,0
20220829,162,,0,0,7,404,0,25,0,1204,1106.2120000000002,41107
20220830,217,,0,0,17,323,3,90,0,340,653.38,44030
20220831,238,,0,0,20,283,0,0,0,4207,750.631,38497
20220901,216,,0,20,12,313,0,10,0,1544,881.327,33023
20220902,230,,0,0,19,351,0,25,4,900,711.165,30479
20220903,71,,0,0,1,370,0,110,0,0,391.681,378
20220905,257,,0,0,9,364,0,105,0,1059,1814.497,41765
20220906,228,,0,0,15,303,0,0,0,3504,760.207,35233
20220907,221,,0,0,15,260,0,120,0,1591,682.7909999999999,34688
20220908,210,,0,0,18,252,3,5,0,4659,728.79,32127
20220909,201,,0,0,27,322,0,75,0,2522,772.037,32713
20220910,57,,0,0,3,328,0,55,0,0,267.413,0
20220912,223,,0,0,10,368,0,80,0,2796,841.331,40380
20220913,231,,0,0,11,317,0,185,0,902,1153.645,37916
20220914,206,,0,0,21,234,0,70,0,3258,733.085,36342
20220915,162,,0,0,9,261,0,95,0,910,811.116,34631
20220916,194,,0,0,19,274,0,40,0,3621,587.965,31218
20220917,59,,0,0,4,295,0,40,0,1564,451.593,351
20220919,172,,0,20,7,300,3,70,0,1447,1072.385,37477
20220920,213,,0,0,16,304,0,10,2,610,854.3219999999999,41737
20220921,208,,0,0,20,232,0,0,0,956,957.755,37230
20220922,179,,0,0,15,280,0,0,0,2036,994.127,30602
20220923,165,,0,0,11,318,0,35,0,570,623.333,29406
20220924,77,,0,0,1,391,0,110,0,5837,284.227,2257
20220926,163,,0,0,20,394,0,100,0,1598,1181.7659999999998,40709
20220927,224,,0,0,21,327,3,10,0,1655,896.905,39566
20220928,196,,0,20,20,271,0,0,0,429,771.6990000000001,35956
20220929,229,,1,0,12,276,0,100,0,1381,1019.001,25576
20220930,234,,0,0,25,365,0,55,0,1297,754.767,38137
20221001,63,,0,0,3,485,0,40,0,0,293.647,0
20221003,161,,0,0,13,366,0,140,0,2186,842.221,38618
20221004,235,,0,0,19,350,0,30,0,4050,680.2719999999999,40288
20221005,287,,0,0,13,270,0,30,0,1354,1668.8419999999999,37294
20221006,214,,0,0,18,287,0,40,0,981,567.362,31732
20221007,220,,0,0,17,315,3,0,0,933,822.289,40200
20221008,73,,0,0,3,343,0,197,0,1356,417.942,3204
20221010,247,,0,0,14,388,0,175,0,790,1285.069,42796
20221011,223,,0,20,15,346,0,201,0,2369,961.3430000000001,39518
20221012,230,,0,0,24,241,0,0,0,5492,1241.528,37148
20221013,219,,0,0,13,257,0,110,0,2420,1068.047,31326
20221014,218,,0,0,20,331,0,35,0,750,1205.156,32153
20221015,68,,0,0,2,318,0,10,2,0,364.468,200
20221017,152,,0,0,18,334,3,10,0,1638,878.3549999999999,41381
20221018,233,,0,0,10,299,0,30,0,2720,1049.28,41470
20221019,207,,0,0,22,241,0,225,0,1030,1246.086,35766
20221020,149,,0,0,19,229,0,0,0,814,1271.071,31316
20221021,214,,1,20,24,307,0,118,0,2288,629.365,31743
20221022,62,,0,0,3,369,3,45,0,0,243.794,0
20221024,133,,0,0,8,338,0,75,0,1569,1003.7850000000001,41680
20221025,268,,0,0,23,281,0,90,1,1677,750.824,54445
20221026,210,,0,0,20,282,0,0,0,1468,627.9300000000001,38856
20221027,208,,0,0,21,275,0,60,0,2427,748.2760000000001,31716
20221028,218,,0,0,22,366,0,40,1,1119,721.338,35008
20221029,114,,0,0,4,391,0,80,0,0,426.52,0
20221031,236,,0,20,19,432,0,15,0,1599,1553.073,41891
20221101,,237,0,0,18,376,3,35,0,1608,1322.737,43371
20221102,,280,0,0,33,336,0,75,0,1190,1298.676,37968
20221103,,311,0,0,18,329,0,65,1,1314,1115.085,28969
20221104,,359,0,0,24,440,0,80,0,1416,698.318,35928
20221105,,152,0,0,1,416,0,50,0,0,561.096,0
20221107,,384,0,0,7,405,0,70,1,3105,1283.206,40306
20221108,,366,0,0,23,321,0,60,0,4522,700.7149999999999,43798
20221109,,325,0,20,29,311,0,0,0,1430,738.364,36888
20221110,,326,0,20,17,319,0,45,0,2713,1037.71,34386
20221111,,306,0,0,23,359,4,35,0,1600,1247.347,31995
20221112,,369,0,0,0,383,0,80,0,0,787.889,0
20221113,,0,0,0,0,0,0,0,0,0,0,200
20221114,359,6,0,0,15,430,0,50,0,1580,1269.189,42955
20221115,179,54,0,0,21,309,0,160,0,2191,902.683,45804
20221116,153,45,0,0,34,290,0,10,4,927,588.7180000000001,39462
20221117,162,62,0,0,27,260,0,20,0,1632,1023.823,39481
20221118,150,66,0,20,24,263,0,30,0,2491,932.61,30604
20221119,181,45,0,0,4,286,0,80,0,150,373.705,380
20221121,201,71,0,20,22,362,0,110,0,2370,1397.875,46080
20221122,212,75,0,0,12,349,0,20,0,1985,1074.177,42029
20221123,114,117,0,0,15,252,0,0,0,4000,1373.149,37584
20221124,187,106,0,20,20,282,0,60,0,60,667.3950000000001,35852
20221125,76,141,0,0,20,322,2,80,0,1031,1031.835,32126
20221126,137,116,0,20,8,329,0,95,0,0,427.982,0
20221128,66,191,0,0,14,376,0,355,0,1572,1466.8729999999998,44251
20221129,72,169,0,0,19,395,1,0,0,1972,460.099,47055
20221130,27,182,0,20,9,338,0,30,0,1998,748.411,40912
