date,1,2,3A,3B,4,5,6,
20221215,,66,,,,66,66,
20221216,38,,66,66,38,,,
20221217,,66,,66,,,,
20221219,66,,66,,66,,,
20221220,,104,,,,66,66,
20221221,66,,60,67,66,,,
20221222,,67,,,,67,67,
20221223,36,,,76,38,,,
20221227,,66,,62,,,66,
20221228,66,,66,,66,,,
20221229,,66,,38,,66,38,
20221230,64,,38,66,38,,,
20230103,,38,,,,,38,
20230105,,60,,,,38,38,
20230106,38,,,66,38,,,
20230109,,,66,66,,,,
20230110,,66,,,,37,38,
20230111,38,,,67,38,,,
20230112,,39,,,,67,38,
20230113,39,,66,,39,,,
20230116,66,,,66,66,,,
